State,School,City,University,Est.
Oregon,College of Pharmacy,Corvallis,Oregon State University,1898
Oregon,School of Pharmacy,Hillsboro,Pacific University Oregon,2006
Pennsylvania,Mylan School of Pharmacy,Pittsburgh,Duquesne University,1925
Pennsylvania,LECOM School of Pharmacy Erie Campus,Erie,Lake Erie College of Osteopathic Medicine,2002
Pennsylvania,School of Pharmacy,Philadelphia,Temple University,1901
Pennsylvania,Jefferson School of Pharmacy,Philadelphia,Thomas Jefferson University,2008
Pennsylvania,Philadelphia College of Pharmacy,Philadelphia,University of the Sciences,1821
Pennsylvania,School of Pharmacy,Pittsburgh,University of Pittsburgh,1876
Pennsylvania,Nesbitt School of Pharmacy,Wilkes-Barre,Wilkes University,1996
Puerto Rico,School of Pharmacy,San Juan,University of Puerto Rico,1913
Rhode Island,College of Pharmacy,Kingston,University of Rhode Island,1957
South Carolina,South Carolina College of Pharmacy,Charleston,Medical University of South Carolina,1894
South Carolina,School of Pharmacy,Clinton,Presbyterian College,2010
South Carolina,School of Pharmacy,Columbia,South University,2003
South Carolina,South Carolina College of Pharmacy,Columbia,University of South Carolina,1865
South Dakota,College of Pharmacy,Brookings,South Dakota State University,1888
Tennessee,College of Pharmacy,Nashville,Belmont University,2008
Tennessee,Bill Gatton College of Pharmacy,Johnson City,East Tennessee State University,2005
Tennessee,College of Pharmacy,Nashville,Lipscomb University,2006
Tennessee,School of Pharmacy,Knoxville,South College,2012
Tennessee,School of Pharmacy,Jackson,Union University,2008
Tennessee,College of Pharmacy,Memphis,University of Tennessee,1898
Texas,Irma Lerma Rangel College of Pharmacy,Kingsville,Texas A&M Health Science Center,2006
Texas,College of Pharmacy and Health Sciences,Houston,Texas Southern University,1949
Texas,School of Pharmacy,Amarillo,Texas Tech University Health Sciences Center,1993
Texas,College of Pharmacy,Houston,University of Houston,1946
Texas,College of Pharmacy,Austin,University of Texas at Austin,1893
Texas,,El Paso,University of Texas at El Paso,.
Texas,Feik School of Pharmacy,San Antonio,University of the Incarnate Word,2006
Texas,UNT System College of Pharmacy,Fort Worth,University of North Texas Health Science Center,2011
Utah,College of Pharmacy,South Jordan,Roseman University of Health Sciences,1999
Utah,College of Pharmacy,Salt Lake City,University of Utah,1999
Vermont,Albany College of Pharmacy,Colchester,Albany College of Pharmacy and Health Sciences,2009
Virginia,College of Pharmacy,Oakwood,Appalachian College of Pharmacy,2003
Virginia,School of Pharmacy,Hampton,Hampton University,1997
Virginia,Bernard J. Dunn School of Pharmacy,Winchester,Shenandoah University,1996
Virginia,School of Pharmacy,Richmond,Virginia Commonwealth University,1898
Washington,School of Pharmacy,Seattle,University of Washington,1894
Washington,College of Pharmacy,Pullman,Washington State University,1905
West Virginia,School of Pharmacy,Huntington,Marshall University,2012
West Virginia,School of Pharmacy,Charleston,University of Charleston,1998
West Virginia,School of Pharmacy,Morgantown,West Virginia University,1914
Wisconsin,School of Pharmacy,Mequon,Concordia University Wisconsin,2010
Wisconsin,,Milwaukee,Medical College of Wisconsin,.
Wisconsin,School of Pharmacy,Madison,University of Wisconsin–Madison,1883
Wyoming,School of Pharmacy,Laramie,University of Wyoming,1946
