Number,University,Class Size
106,University of Arkansas for Medical Sciences College of Pharmacy,120
69,University of California - San Diego Skaggs School of Pharmacy and Pharmaceutical Sciences,60
70,University of California - San Francisco School of Pharmacy,122
71,University of Charleston School of Pharmacy,80
72,University of Cincinnati The James L. Winkle College of Pharmacy,109
73,University of Colorado School of Pharmacy,160
74,University of Connecticut School of Pharmacy,100
1345,The University of Findlay College of Pharmacy,93
75,University of Florida College of Pharmacy,270
1347,University of Georgia College of Pharmacy,145
58,The University of Hawaii at Hilo The Daniel K. Inouye College of Pharmacy,85
111,University of Houston College of Pharmacy,125
76,University of Illinois - Chicago College of Pharmacy,210
77,University of Iowa College of Pharmacy,108
1627,The University of Kansas School of Pharmacy,155
78,University of Kentucky College of Pharmacy,140
59,The University of Louisiana at Monroe College of Pharmacy,100
79,University of Maryland School of Pharmacy,160
80,University of Maryland Eastern Shore School of Pharmacy,63
81,University of Michigan College of Pharmacy,85
82,University of Minnesota College of Pharmacy,108
9013,University of Minnesota Duluth ,60
83,University of Mississippi School of Pharmacy,115
107,University of Missouri-Kansas City School of Pharmacy,195
1619,University of Montana Skaggs School of Pharmacy,65
84,University of Nebraska Medical Center College of Pharmacy,64
85,University of New England College of Pharmacy,100
60,The University of New Mexico Health Sciences Center College of Pharmacy,86
61,The University of North Carolina at Chapel Hill Eshelman School of Pharmacy,155
1349,University of North Texas Health Science Center System College of Pharmacy,100
86,University of Oklahoma College of Pharmacy,90
87,University of Pittsburgh School of Pharmacy,114
110,University of Puerto Rico School of Pharmacy,45
1629,The University of Rhode Island College of Pharmacy,130
1346,University of South Carolina College of Pharmacy,110
88,University of South Florida School of Pharmacy,100
89,University of Southern California School of Pharmacy John Stauffer Pharmaceutical Sciences Center,190
63,The University of Tennessee College of Pharmacy,175
1350,The University of Texas at Austin College of Pharmacy,125
9014,The University of Texas at El Paso,0
1628,University of Toledo College of Pharmacy,108
93,University of Utah College of Pharmacy,60
94,University of Washington School of Pharmacy,105
95,University of Wisconsin School of Pharmacy,145
96,University of Wyoming School of Pharmacy,52
90,University of the Incarnate Word Feik School of Pharmacy,105
91,University of the Pacific Thomas J. Long School of Pharmacy and Health Sciences,200
92,University of the Sciences in Philadelphia Philadelphia College of Pharmacy,141
97,Virginia Commonwealth University School of Pharmacy,140
98,Washington State University College of Pharmacy,177
99,Wayne State University College of Pharmacy,100
1351,West Coast University School of Pharmacy,85
100,West Virginia University School of Pharmacy,85
101,Western New England University College of Pharmacy,75
9015,Western University of Health Sciences,120
9016,Wilkes Univeristy,72
9017,William Carey University,0
9018,Wingate University,90
9019,Xavier University of Louisiana,160
